id,status,used_in,value,idea,expected_signal,notes
I001,working,v11,high,4-phase causal matrix program,better layer specialization,extract->contrast->memory->aggregate worked logically
I002,working,v11.1d,high,block/route/adapter diversity losses,lower block cosine,block cosine dropped strongly but accuracy slightly dipped
I003,working,v11.2,high,late write repair,late layers write nonzero deltas,fixed pretty-but-not-writing layers
I004,mixed,v12,high,SignalBus + RolePlanner,adaptive role mix by layer,roles worked but accuracy lower than v11
I005,working,v13_soft_explore,high,categorized primitives with softer exploration,new best 64.35%,category/primitive temp + longer run worked
I006,planned,v13.1,high,gradient usefulness analyzer,attention vs actual loss usefulness,needed before adding more attention
I007,planned,v13.2,high,route categories,route specialization,route diversity often stays high
I008,planned,v13.3,medium,architecture memory ranking,soft priors from best runs,export exists; ranking not yet implemented
I009,avoid,water,high,blockless all-to-all water,poor specialization,do not return for SpeechCommands
I010,planned,v14,high,adaptive architecture controller,automatic explore/exploit/repair/rollback,controller prototype added in attention replacement probe
I011,planned,later,medium,nullspace/rank growth,capacity without forgetting,needs rank analyzer first
I012,working,v13_soft_explore,high,memory primitive variants,class_pair_memory/ema_memory,used in L2/L3 even when memory category is weak
I013,working,v13_soft_explore,high,repair primitive variants,late_read_repair/class_pair_contrast,L2 repair/suppress/memory became useful
I014,working,v13_soft_explore,medium,weak-class late read,force weak classes to late blocks,go reads L3 strongly in soft explore
I015,working,repo,high,gitignore data/runs,keep datasets safe,do not use git clean -fdx
I016,testing,attention_probe,high,matrix backend replaces sequence attention block,distill frozen MHA output,checks whether matrix spaces can imitate attention
