version,status,best_val_acc,epoch,main_change,main_result,next_action
v9.7,baseline,57.15,15,tree/vectorized grid,good accuracy but energy/global shortcut,keep as baseline
v10,archived,45.85,5,matrix attention backend,too much short_onset repetition,do not continue directly
v11,best_accuracy_old,63.55,15,logical phase roles,best old accuracy and logical program,now beaten by v13 soft explore
v11.1d,diagnostic,61.75,15,strong diversity diagnostics,block cosine improved but accuracy slightly dipped,use diagnostics only
v11.2,gate_repair,62.70,13,late write repair,late layers write real deltas,base for v12/v13 ideas
v12,signal_bus,59.00,13,SignalBus + RolePlanner,roles worked but accuracy lower,keep concept but improve primitive structure
v13,category_test,59.15,13,categorized primitives,very logical category program but accuracy still below v11/v11.2,next: exploration/exploitation phase schedule and softer category entropy/diversity
v13_soft_explore,new_best,64.35,24,softer SignalBus + higher category/primitive temp + 25ep,beats v11/v11.2 and keeps logical category program,next: compare memory_repair/low_signalbus
sequence_block_probe_v1,good_probe,NA,27,matrix backend distills frozen MHA-like sequence block,val_cos 0.99782 and val_mse 0.00437; proves backend can imitate sequence block,next inspect analysis with updated publisher
multihead_dropin_probe_v1,testing,NA,NA,shared matrix backend with attention/ffn/block heads,tests how many heads/depth/primitives are needed for real drop-in replacement,run and inspect per-head cos/mse and program
hf_matrix_dropin_probe_v1,testing,NA,NA,drop-in replacement for one hidden layer of prajjwal1/bert-tiny,uses HF hidden states and matrix heads block/delta/norm,next run 40ep and inspect controller/growth signals
universal_matrix_program_v1,testing,NA,NA,universal task-adapter plus matrix core with auto-growth slots,active layers/blocks/primitives grow from health-map without manual insert,next run HF 45ep and inspect growth actions
universal_matrix_program_v2_steps,diagnostic,NA,45,ordered step slots inside blocks,v2 proved add_step works but controller overfilled L1B0 and then depth/width; final block_cos 0.97543 delta_cos 0.93178 norm_cos 0.98851,next balanced growth with action memory and per-step traces
universal_matrix_program_v2_1_balanced,testing,NA,NA,balanced step/depth/width/primitive growth with action memory and per-step logs,targets fewer blind step repeats and clearer primitive order per step,next run HF 45ep and compare against v2/v1/hf_dropin
universal_matrix_program_v2_2_step_planner,reported,NA,45,step-planner attention over all blocks/steps using head pressure gradients gates entropy cooldown and action reward,final score 0.12968 block_cos 0.97567 delta_cos 0.93279 norm_cos 0.98884; logical evidence->repair->delta/memory->memory_write->final route/evidence program,next v2.3 cleanup: category-op repair prune/recycle and skill extraction
universal_matrix_program_v2_3_cleanup,reported,NA,45,cleanup planner with category-op consistency repair softer prune and skill candidate extraction,final score about 0.12919; repair/prune still did not dominate,next v2.4/v2.5 descriptor and forward cleanup
universal_matrix_program_v2_4_descriptor_alive,reported,NA,45,descriptor-aware planner with primitive/category descriptors and descriptor_repair action plus alive proxy diagnostics,final score about 0.12919; descriptors logged but did not dominate action choice,next v2.5 forward-level alive/cost
universal_matrix_program_v2_5_alive_cost,testing,NA,NA,forward-level step/block/primitive soft gates plus primitive cost penalty and late growth guard,tests whether cleanup and efficiency can be learned by gradient instead of only controller,next run HF 45ep and compare score/cost/alive/pseudocode
